§content§|§start§|§end§|§group§|§title§|§className§|§type§
§Encadrant§|§2002-07-01§|§2002-07-31§|§Expériences Professionnelles§|§<img style="width:auto;height:60px;" src="data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAARUAAAC2CAMAAADAz+kkAAAAkFBMVEX///8bFxsAAAAZFRkXEhcUDxQIAAj8/PwaFRoRCxEHAAf5+fkOBw4VERXy8vITDROsq6zo6OhYVliioaK/vr/Ix8ji4uKWlZa0s7Tu7u5TUVPU09Scm5ySkZLb2tsiHiJhX2EqJyp8e3w0MTRMSkyGhYZlY2VzcXOCgYI9Oj0sKSy5uLnDwsM/PD82MzZ0cnSHbFh/AAAbDklEQVR4nO1dh9KqWAyWcOiIvaJiwX7V93+7TU6h2Au/ujNmZme9/ooQUr5USqUf/ehHP/rRj370ox/96Ec/+tGPfvSjH/3oRz/60Y8+StXO6NOn8H00B4DGp0/i26gFmuZsrE+fxndR4DNNh58K5alvahp0Pn0WX0YD0p/dp8+iMPIKOUoIOupPu5BjfYxq6vy9HWwLOJ6nMdSfagFH+iD9AxiLVwdgWgEHXLia5tYLONAHybPLxl68ipg/fv2ADTQqZe1/7pSHoEm41U5evUIjblS+ySk/YSw9X1eGsYtceflqrI2BRmX+6mEKpPns8e8gK4y1eDk1dePlc1ii/vjrlw9THA1g8fiXxr4GQ/Fybzgv20hkssbM2quHKY5CeMIbWmgFIOQve6DD4MVzqHGj0nrxKEXSxoB/D38pBI1FwhxhQCf58zztHc0uBPMURY2nbCV+y5d6NwTd7N3znaq57p7/ywq+DL55pAqPc2VqaiAvcWcY91nJJRjnLViTmPKqEhZKczqjx0OPtaGBsI0B6O7qru8cKCAen77fM9m7fHJ7et/HUFQ0CB4+POhlAWy5WckoRu+y3BF41aB+Ao5iXzPfBPTn91n0vq+h8X+YKz3QzKX6IR0Sj+oN4bLgeQDIF3dyZIQQJJftYoLuW9SDuxSV3z511x+gMBWQSZkpEGhVI2Bw+VtBd0gJlCjHlhYgSH7Vh91JDYAL9j5LXH808/Dw4Qnkt+UhbCk17SHyhN24GTHaFkfLyGZgl9/nfnaVezRo52ik6o+7oCEwGd1WkT8INGqDNQCrQHRDQkd7/KY/SxWmjs7sPmP9OqEQ3OFYyP9omhE/fvyxr3IHBHcawxmAobsQN29/tek7mp9k8Qf49TdZ2nBqMx1uIqt/nCnPKFDJ11XOeYHmGqVEMwCm98lcMEOfEwu2tMB29m9KqQBFFdEts97Da+EK9Dh+quEdpiih1xpzzqKY7Kp3X5wXGZo5I9uCIs38u3BxAYTA844EDsIEwZXHoyAytr3Sdg9Ax2B3i4kkigX9Sa0URMbb3I8oIGjODRgujMpzxnbps6hk6Q55MIwSu0Isw8a8s70LeKA31hyziQ7pjdXTvnAtV6tNTcUU/QrAuESgY2j4D3wAOwnrqmhxkczE9dUy5v4YJnaAftjRzPHjP/4kWRyFYGh+xQvVxGeew3CIbDFuqU4WDbSWIqHwL4KyDuDqZQWUOwB9+bK38zckE/8WS6UvB35TbOfxWONZUmLgXHG5a0cy5RkXRMi2WSLrGoiEQrAEpvswbxH85yLq1ZHt7kRc9ABsf0f5atME5bunLv62/0QS8FlamspiXMSMB6U/2jOa3UxSMvQKuVAHTTfrJJpdEPciBs3GSFig3ojxO7Q2MqcUuPpNLS+SLFJ2aTIuCGg1ZcozeTRCbuIV3nG6+2i5TRGjd4FtSjw37dr7stQu4Nn7LmRvFMlKGf/df5MOddNLvmDMwsSoPGdspya6IE6zsoiHdoZAPSPQSSq2QGJCIRJdM5eRsLQheKSiMwpL3R3eP/8JYPAMxU5GEM5BcIQJ6SdUQuARWvjSIKDZtTlXN4wLQaAZdN1WVIYDGZ3yxBJmjk2kfEoe0H2BPnKPktj3ZYJeo1FGO5KMc47qpnaDbwm1V+f8GEqGSJ3hBVfIjHhg0zve3tfoGqvAIotQCQ+WJigj/tIT4EbYI8/BEHHHP0JytP77isc0e83amRtBOQ6WsO162fwfRKeA3MIgS5iHlSvsiYdmZFoKEJXx6vla6FPdIX3hkNKcL0w0yCrtNzZRqPiB2xqiY+fPtSjI2AxuNo6NKceVcVn+/YZvxNu9PzGH6I5lmiI2hPmkSvOovTE1Z+MlATtKTMUjYOSX0R/5mmGvTF0j2UXLlwQkvTUHdH8McRtZBUIyZvmoLUDhNeKDr7gyvno0dB/uCeoZqZRToEpllLttQkUr8+pfAyg7V0XeDFFgfHexQ7ZQZbAHPGtBCDIt/iCyIbYMX7/0K7Q38lzRjn4PY0KUn7GyyOZ1U0cmEo5hHrIKOKup4ZG/2tILHcNELpgL31mUpuiNEMR1wdjwbANVBkfARRNPIZdoWnCX/ZfS0joSlWMdogAEbc3aOOVZa3uaveucO+Eqelz+Ak2GaGER/oUJvZqCxnZ7RDCsRkUNFKu6I4BKC+jnqMCWlz9iizn/93d5loV/zBV54oJCsrToHxKgpyS5t6LQrnJ8w/jhjm3THKTe4V+FrJEB1wzBlDa9ZmiQ+x6ZVWLpjAnhCAF/rk3Z6yMTTkrk/l1DXC1va+WVJxUoy6bOs1YqUer8GsC/yCAa5M5twp0Vc3L+feELCbMQl5EIbJcafrm8Ueltrpkcrm2BS8WkLLOQwyHPFZ+igR06pX74V/mn4YkC5e41NYnQXeuoj7n8VlvjhJkMwFwlmtSTMmX2sz8SO+KyasAxaw9ESKOuibA8jMlzhcB4qWgFabc1tUid2jJrZlKO829wi8VYlhvJpfripAhlGhSmjKWe6T6dfLDL8VJ3wZdJyzDJTGVUy9qUhVvl5WFPdPkRSJZsQaCv4D8T3/NaiawhqDXONaQHaIjE2RRP3ezloQ9QbBHxUKAzEQxakWSeTjU7b5/FfbqQrjU/wQZ3mjrlatKEHfpjIRcd6tbA//cMLlGuYl3E+Kfbftnv58+PUrYXcpJeH/6q1rzOumVoJPk2gbWU/nDRlyzA2xa7mS+ZthAjgVIQJ+sRBSvZjmm0XSKiRNcikjPc8+rIOq43ZHda5L8N/UQlUKwuXvvwjyBLmBUVZlucD4lpIcwlalsJt8oz7khTQYGFJ00TB+EiMSLcc3LOGLtwr4aaJDXrQMwje+1GZHEHYE7DJej2iVXFIx2jyr+nnFvmhnSjhMeI+OWKgCOxyQiqsgCHB77Ch2A8JwJN4kbfzJrsrsBi1PklkzOUOKiib3eEd8abY1Ly/ySl9O+NJeWEejmjyZFIes2VDSqKLxxkXyFbtIq7VOkMh5+x8MaUseLIFg/jmSwDezog5CYEldbaih6wNlptRvIhzNaJqxmhR3tb9TShvFsWOg1JsoVpanLA05QVhm1G6RxNWAHpoPCuc+miN3maShmEgylcDPJMRtwNFRjNwSa12QK1uR1ffw3K5zMbf0sYeWS0IeL6W4sy77kiommnRjisp1wzpGeVqQg0GaiRsgtDVCqEH+o7IqE2T1rjFr7KhXIT2yyF8ZmWCC55dxSii6Uq6nsKV1QwHEyS67Yl0Er9t79KXqa1RiUr8xLKgkrVjVH/KoJDawntUQ9lMXZtJHnO2sTVyXidMakNKD/T2Psi7R17cCZ1X3MUq9QVZvJSqXlO6wGxsDT+0oI0z+pFZVmRDgwJXii64exBjVR5XGRHHy40zvbi6P0N6RiQNvqp6Uxhl8pdJ+Z/d5xs0HK1I4nynfpWmRV1FI4/erIJJKioRv6RzFNKWgJ7u6O5SGMfRmlsqLPUrG3F20p6Av8kgsRwObkOZXXYes2y8TaZFuJdCLbbE5/TmTx+Pic+hbL5JbMbbfSXGcDvZLF2F32CDgqd5rCeYMqwmiZOk2QexVTZwmLd5Tq0Bdsgq4FOv7JT38intlZoc79jTm4K4MUZBcqdZrgGicZL+RKZ/HD2EnL6le0ip4IJWlJK4NM/u0llbHgyH7SECvuGSYXAdZdBtiJ45AJH6UkuzSOmsOwgTHgG9KhjoMXRtVi2Yg8SXuABj3vwx2A4X8CWBkA7Vye9fE4zdsSVXP1d1dgY8Y7l+xWoPKAbUjvnrsr0I+Y5Nq/e3nGeGDoqmjZ+nAJ5CoYvYsiem5pkycEM4FKcZRN6ddyv0OK9TUmgLDVvZ5y2JtbA/vy0XBOgmVUg5zixkVKqIo6srGbgxSjx4qMB5PklvswT09xmxYbNhKmasTM9MP8A3g7ujyn2tVzK6UpBI/Exxs6a8GJZelNrTFbPENPx5siT220BCgE3JzMm7RGCuHM/V/s4U0IKY8eZPMKVbue0u6WhKuJKVkZaRf5pys3PuX6Fzj8Z4kRMCmQN9O9cbXBwoWZl0/tXGrM3LP2MSMq5EohXQTplGlehtIRxdmXBUEyzJBJCnU9fNdwjqQd+PV8fuzzFEaSloB7VO8myCtM8VWyFsSVacc53cXgz3oZgqOJwA55pTv17GgCe1iqTftXti59NGjkoO0n5eLJC9VE4mMg/2CJbNIeTYqwijxcGfF3a4oUvsxZfRpGDp7XJwJArLigBNeKSm7xB28FASNpZNZoZV65nQ3qmLSNm5/UR1b+gJtUM2lkFutIXOVciJSFGC7JQl8FEuJ2Ah8hXfrQHtmpMgK/cmNJ38Pxy0c2Vm6dipSQaDhZg6hRkOyaApuKZ5kWzIgnBoMTP/wb36I/3ZkzX5s2cufz+FeunjG2GcaMpVd4n8bSRnjkvi16bu+qZd0yVpNSBJ7oSX6E5za5bk2x0cxlsJwWyXKDknURNDbgcSwXksgKTaXcXQMMNwJt3IABDbN3Oh7oXP6zw/nkoklI1XQ5xRN6A2xHPMCb3otcB+O/eltEF0v8U7utljTcCnyeF92+5jQbo5z1QNQKX+kVLmnFvULxE9Xx3yjJ2yEMmcF+P4nKaWz4hhWputdC0ztfCWzNwZCNodGvURlEdYPrumKjNU2MpsC3HU/8KXJHZhivSJGl0JmaoLVAVZjLEWl/elmJlJaMP9vt3Zcx5fTMFtuZ8fy3FLjPZT7UsDsCFfaJWdfcSVxqZKAz9/vIDwbPN24nSZCtsJ1dCWEuZlcfRA/mRLDNXcN6u9HZZj75/f7WwRGiLSjEZvwy1GbvMFRkF6c6jv+MdwIRO9q7/Ow9nRnmD9O99Y1EZqvt0cj1TKIajs00AV5B648lh3S2AsbsHtIWQGU9u1j+zvYoyPl5S2XLnhtM/2nGRp0jEgA+KdUCDYXd9pwXORL0eRXBur8hdNFoNXxCyAfDbLtCKDm0wp0O40jkzlx986CerPId9z4h6C8q6kqjAcczZdUMb7C54pwaasCcm8hWhAhEHRL+Fv6TFVfNry6tE48+1gcQTqtV56OTeoQxNYGw3WHFWWDvfXd/QufgCrmqCH5kvtC8suCPwHB7yQXUAsO3tr2yoEID/kZ75Bvj3Kl2DknlMlqzHwJuzr1BteSGIDRgsx/esBLlEIf+yDG5gJLoXr5DoE7y/ZWAUgy7adm91CLc7e57hlKNDiPJv3OwaXNLJKazbBdRNZNsKUKdrDS3/jU/qd2/GGYJjQERsudG61YpBpsIFU+Zwc/no4rhxfxsLhUMzUFsVMHYn5lpYZAHZUfuKKHAMfO8mwNYEj4cAf+nf+s48ab8TzEBu3mogDY8DrX9gCh+wg06tiOZ10xbGtkZjs/hzl4ErD4PuMyuI1ZnJ7zwVpq/G2CMxG6FTAysxYwgV5xa46ft5RzgCWcFHc4AB5esdyW3ZtVMNaVarczLllCHalHLfDuYGmI7o7vDgiikKmnT5y0GkI0dk81MD9e7kVnv5uU5e1yt1UxM+UfdqCYNWESmqpjK2VRrcmV/bkhSstLsWPjUjQgzCclM8rpvnFGLUQHPCUVsV0N0vRHNlFxz7mCnB8W6wvu8GZHCVSV6pe+kBDDZFjAqpHvNaB9xVaedfzq6UOo2zKYIjCmNwWVVdGR3+dDzRa02Rc47OzWsIOov+iWEqhLeycbfUjYWSEE/y90qISgiyLbrEpWNKxoRqboVElCJngtHPyoVqG64h1+0d27ZGC3DcTNBTl5eepfDAkHHiZ7ulGi1MGu0rdItHYKg2J7ztdAfaNKZm5k1r3URRofVtArFYETJkS5zyXL2gEUSRtmcRDRC3uvBaq++ICiGwS/2wB8bmaPFPd0/FEo5jyn615K19HVoLt7zjbWLJZ/EyrVIL4RxEg/yNaksH1JYfPSAjApOxjTc2k9yPN6i+EAupcYRxaV+GXhWurPZu3ITtIV6vk9uKGEJ9b8hdx8EAje52RtCkjBZFFxN6fSq/U4Tlr6uxn5qtlevPaVXNpnqMdQ6uqJqsxLA01x+avTJ0My1UxcBeqCEpYzssIbetYGFflsDm4QaKaESoC3HO8nSg6sjO9CACHxXf0HUfJoNex+WrRJa0KkLAQwMMPwU2GtNcE9ankhuATGX0uQZ5EXo49J8GHzZQqz5XryXxZI0U7xGIhO0LHCYTcCRPMYRye2MQORq0RlRSW/zj7ciMBbSb1tnxvI3P9xkl7mMK+E7/nG0fKkjV54ZnStB/bdbrBk2DS/3vvhIIlZIBMhgFcAv8zG91VLRX8yOnGMKsDcmgMnX3W23xkbFJrekNPt2PiKkM/VK9oqv4ZbSm/Xhnb5AFavKuT8gtpHgSBZ7ZbE8zNdxWH453eD5InlAgG4IR3IgNu0/UqsYwbwmsEZIopOWDLaihK1QDFB+7R5+QecDeEoz0s9X8z1YVjMWDo7JvaAJ24yA+dsYtse8meLnjX24IRBc0ArhuNqaPdw8g0Go1RI14RjKpm1IW+I6EJp8nQwGtNclfzFyf8Yxwgzc6SDz8b3Ikw2uHRue9Tr0xxdvUAT5RZLfDyF+0+CK60Hi5ViInOOjGdG8oyNh/OD7vgOkteMiisKJUClriom9oznucfLgSb4Hk4wCOj4rl0nuICMtmPYt1UfQo294FqA+hTxsOPcT7XbJg05AEsL5/fdxbTuHeEU9ZEXsYSm/MuOTb5oJsq25qSaNClcyJrzOtslGMHg08fHtOY5qwWzT4/oywTiME+R0veG9qNDHjUJas0nfQH1W5EPdhiv/BpoAhPFVOvwcQzuFyZ9iloxNaJm/ZABbNTSoPeCHvy7WhM/UzoaZnokQthKsNSPWMfneHjEOly7V08MaSYBCZGF+jjTU02FpiDmtNMhQUUipRBea7FkIPHs1aoKeuiaIBqlGT7oBu0+ZcGtZuUdNZ6j/neF8QuSsG0BMvgMa/HTiEUpy8VrdGh+yGLjCxeoRCBm/FRSUobjcNzyIYzu1y+p3Umo/Hy3SDROTHfN1KiFJwEChaB7tJWfSV8NQqw9AGPjuU5MmX4m4hTq4uRQ7JGppouj3TtjGsxCCCFIVmoNcdEQ6174rm7yIaHDQwhj8dM3+K6nyVZOLh+cMuaNtxyaPi9TDZxvIPNnzWIRXRPknJIIkia7ygbUA/9Hzga76oPITOjOObiDLMdMJL0zz8A767gXrcC+rnsPhDqwYrUzeK0McVbAbDPmJvmYwYgu3RI19MRFnOmAlR4eowCkoTI6O4Ww5/Y3VvRjQioMMe/xqzETkdGgBsdsLShJXpo0wspsF3awOZZegWtlODgxXo9CuFDAqHwPt1rInculOa0QXUHb1CAzKOXFEq3T/NSiVc8VziYw0EbrNW1K8qVrDMoUXKFUj1OKBBaXO5EDZkWkWMXOEwawuTUjHEewShtfRZEdM4sVRs9ZSYGlWbLEoaoH91oN9pUZwiSvu0T6STPPdkzqOXqsCsYYVHRQu6Ty3wDyZGSy1gFtci8Y2DmcrFToKKdlELtNVT38bOlUaeu2kEkVUKttXaSHKlSqLC2xgQwfLlm0tTZftjx12WFFfaAjTHIt/VIX8s4J6nlTVgPc7oBv7BkA15cSYzO1N+q1XQrCJvcUKYvyk/sxL8mOYIwXrUpl2Rleo6/U+0Mcjto/gPIZVdYE7gqViuztWqJj9Uai6YLjKCByiL/ZuWwUyNm2fO7zDzYN1/RXfiUnkHmU8dwQU0jW/QSPDRf11cnsXjqriCksKkyvONET3+JBnUtpHcXSpz8oO0QooqrfGPGxNSSu/Qocd04ZftP9rHk7sOxsviNIvy+uMPeoC3l3LATBbummT+aoj00e/LGJa2xJKBnfJUzla2yuxETmRjJBZ/Z3DhjX0Oo6xY80LExrWFX4RM3yCu8njPBlDEI/GQtxaCNcc05S1fkvmjxo9WWnijHYsdyunTO1OTm7OmcB6ttLJMnUVVXg4kobNijCAR9jZL5rW6ZlEkHj0zQiFnd3cEXyaM5tHYDut1KeMhuFOKKN1VL81ADHl38trg6zn6Du/fWAv1HacKFIplyYiAm9Shyxe/rsFqQ/kNg6s7DpXoztzXnnWdqvk+gC03HbRNstZIoTjZd3/hclvqIa7pciRGP16DdCSzAQhxeB/KohkDWejeEEFL9WaysADiK/OcvlqV8yoNco8Wr9K2Ic+rUMXAZcnbPBRyBOz3xLKvurDN00wUM5ZrgW2+jH5o6ow/t3zhv0GB+PAL6u/SfOK5SKfUza4I6VCycYAhgA7tbI22LZtU6LU1KwPP1tGlBpCWLIldAgZOd/tDL+S8oT2PzhsGP+JKmRE/RrebRe6hFq17FtcfLJAbGNRiAOhOQ6ikHwp4t6b4WI+XUBui73aeEbRW/rF41twbrTp0ntHfi0objN2O4+9FEaIikx2LWq89QChnDmv0xCP0NXbO66+RLXJOoMkh8J6fQi+b0OrA2UnEwTse8zhE0Y2FkBTTEy4mMymRgDxBPltrHw3IAHIJxmY8UWOYU+pWGokCQNaq0OTL+MzxR+/ovqV9oEGRw6FiyZPugE88aS/o4SR1hGhHALGhYtuZv6d/UUpgBNlxian7pzt8r1G1mIaGDHm0L0zX6vwRL94EQzmIPcRyR5yPJZtGvKQomNbPKcfU/NAKox6N6xZ90Lbva3bUCEejVmfmawYs+LM88h+qgXwiGW/U6fGK1zbfhD1QLW7vpjoGo8UvJ6itKXfPiWmwOT9MprRjQk80mVMCzWN5c+/Zn9m9YtFDNv9idXAD+Ni3rvmXdiPGUg5a3AMBMylf8BWPy7Xq5t39oY8eukFzQP6FwjkpkIyJxiayBwMet7F4yzMpblPr3MaYwoiXKS79sSpNSBsoQOSPe3llEKFIGlLy5zMbG2JpVuY8u0C3x1x/xrSeUFzh+2c/QD1ZtPFkD4oBsHnXo/luEK0+/9DKk60ojpBb5ifQXmy/ZcsIarPtfuanD7JbGO6dZn4fza/s5P5jkvWzbXE14cJob3xqGRt6Hh6JxubNMfF3U5sykp/56a3IWI/g+7Z+yUcif4KGIjLs//3ToR6muvOx9VJL7peb4H8JcEupB1e6r/+YhoQdvajyoZj4CnXhod1BhVKDAMHYfUeq8UGqf9DUdSaUlXW+zgGVSuHic3H7XOMDQN+x/vlraAXbzADQjwStANh3pJi+iYZfup/0s9SDj4GCb6bR1zyV4Uc/+tGPfvSjH/3oRz/60Y9+9KMf/ehHT9N/172HjwtF3yMAAAAASUVORK5CYII="><br/>Encadrant sur le Festival de Jazz de Montreux§|§blue§|
§N2NSoft§|§2005-09-02§|§2007-05-15§|§Expériences Professionnelles§|§Ingénieur études et développement sur un logiciel de simulation de réseaux§|§blue§|
§Sungard§|§2007-06-01§|§2010-08-15§|§Expériences Professionnelles§|§Développeur sur des automates de trading et middlewares§|§blue§|
§Andromas§|§2010-09-05§|§2013-04-15§|§Expériences Professionnelles§|§Développeur d'une application d'identification de micro-organismes par spectrométrie de masse§|§blue§|
§Co-Fondateur IdWeblogs§|§2013-05-01§|§2017-05-01§|§Expériences Professionnelles§|§Co-Fondateur IdWeblogs§|§blue§|
§ID - Directeur du développement numérique§|§2017-05-01§|§2019-07-31§|§Expériences Professionnelles§|§ID - Directeur du développement numérique§|§blue§|
§ID - Chef de projet digital§|§2019-09-01§|§2020-07-31§|§Expériences Professionnelles§|§ID - Chef de projet digital§|§blue§|
§Formation de piano classique§|§1988§|§1998§|§Expériences Créatives§|§Apprentissage du piano en cours particuliers§|
§Apprentissage de la guitare§|§1995§|§2000§|§Expériences Créatives§|§Apprentissage de la guitare et de la basse§|
§Enseignement du Piano Classique§|§2004§|§2006§|§Expériences Créatives§|§Enseignement du piano en cours particuliers§|
§<a target="_blank" href="https://www.youtube.com/watch?v=8Y9toRaHKaQ">Lauréat du concours BOSS Loop Contest 2011</a>§|§2011-05-15§|§§|§Expériences Créatives§|§<iframe width="200" height="113" src="https://www.youtube.com/embed/8Y9toRaHKaQ" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>§|
§<a target="_blank" href="https://www.youtube.com/watch?v=_JlJU17xYQ0&list=PLzhncxUxIvnbng-dosuXDg41NnmgcXSil&index=4">Lauréat du concours BOSS Loop Contest 2012</a>§|§2012-05-15§|§§|§Expériences Créatives§|§<iframe width="200" height="113" src="https://www.youtube.com/embed/_JlJU17xYQ0" frameborder="0" allow="accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture" allowfullscreen></iframe>§|
§<a target="_blank" href="https://www.lafourchette.com/restaurant/cafe-rubis/297353">Piano Bar</a>§|§2012§|§2013§|§Expériences Créatives§|§Pianiste au Café Ruby, avenue du Maine, 75014.§|
§LeKiller§|§2012§|§2013§|§Expériences Créatives§|§Création du jeu vidéo LeKiller pour plateformes iOs : iPhone, iPad§|
§PandaWar§|§2014§|§2015§|§Expériences Créatives§|§Création du jeu vidéo PandaWar pour plateformes iOs : iPhone, iPad§|
§<a target="_blank" href="https://maxicharts.com/">MaxiCharts</a>§|§2012§|§2021§|§Expériences Créatives§|§Création d'un plugin de graphes pour WordPress§|
§<a target="_blank" href="http://www.medicheck.fr/pharmaclass/antivitamines-k/">MédiCheck</a>§|§2015§||§Expériences Créatives§|§Création d'un site concernant les interactions médicamenteuses basé sur les données de l'ANSM§|
